Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Tianna Hawkins,WAS,F,31,477,23.5,0.623,0.414,0.182,12.2,16.5,8.3,1.5,0.7,12.8,26.1,2.1,0.6,2.7,0.229
Marina Mabrey,LAS,G,31,355,10.9,0.453,0.588,0.122,1.9,6.1,13.4,2.7,1.7,14.8,20.3,-0.3,0.6,0.3,0.035
Kaleena Mosqueda-Lewis,SEA,F,31,435,8.3,0.508,0.503,0.086,2.4,5.1,6.7,1,1,17.5,21.6,-0.3,0.2,-0.1,-0.007
Tanisha Wright,NYL,G,31,613,12.7,0.512,0.292,0.238,3.9,8,32.6,2.6,1.2,28.4,14.3,0.4,0.3,0.6,0.041
Shavonte Zellous,SEA,G,31,432,7.8,0.464,0.276,0.345,1.6,6.8,17.5,1.2,1.2,20.8,17.8,-0.3,0.4,0.1,0.006
Theresa Plaisance,TOT,F,31,442,12.9,0.489,0.5,0.178,6.1,15.1,14.6,1.1,3.8,16.5,19.5,0.2,0.5,0.7,0.067
Natalie Achonwa,IND,C,30,636,19.3,0.562,0.059,0.325,9,14.2,13.4,1.5,2.6,11.1,18.5,2.1,0.6,2.7,0.173
Jordin Canada,SEA,G,30,865,14.7,0.454,0.149,0.284,1.8,5,31.7,4.1,0.7,19.6,21.3,-0.1,1.4,1.3,0.061
Courtney Paris,SEA,C,30,190,8.4,0.415,0,0.467,8,16.8,10.3,2.2,1.4,33.2,6.5,0,0.3,0.3,0.065
Aerial Powers,WAS,F,30,593,21.8,0.587,0.466,0.394,7.1,10,12,2.2,0.8,13.1,25.9,2.4,0.7,3,0.204
Rachel Banham,CON,G,29,353,4.7,0.435,0.626,0.113,0.3,4.9,11.4,1.2,0.5,17.7,18,-0.5,0.3,-0.2,-0.024
Alex Bentley,ATL,G,29,634,8.8,0.384,0.421,0.108,1.6,4.5,28.1,1.7,1.1,11.5,26.7,-1.4,0.4,-1,-0.063
Monique Billings,ATL,F,29,553,11.7,0.469,0.007,0.417,11.5,19.3,5.4,1.6,1.7,21.3,17.3,-0.3,1,0.7,0.049
Imani McGee-Stafford,DAL,C,29,346,14.8,0.486,0.037,0.128,14.3,19,10.4,2.7,4.5,22.8,19.9,-0.2,0.6,0.4,0.047
Tiffany Hayes,ATL,G,29,817,15.1,0.497,0.313,0.34,2.7,5.7,21.9,1.8,0.8,14,27.1,0.5,0.6,1,0.05
Camille Little,PHO,F,29,425,9.6,0.53,0.228,0.337,5.3,9.4,9.3,1.4,1.5,19.1,14.6,0.2,0.4,0.6,0.054
Carolyn Swords,LVA,C,29,257,9.5,0.476,0,0.178,8.3,13.4,6.3,1.3,1,17.8,16,-0.1,0.4,0.4,0.055
Brianna Turner,PHO,F,29,462,14,0.571,0,0.286,11.6,15,5.7,0.8,3.6,15.6,12.5,0.9,0.5,1.4,0.125
Yvonne Turner,PHO,G,29,595,9.1,0.483,0.459,0.285,1.6,7.7,19.5,1.6,0.3,23.4,20.1,-0.7,0.5,-0.3,-0.017
Kalani Brown,LAS,C,28,377,15.9,0.54,0.009,0.407,10.3,14.8,7.4,1.2,4.9,17.9,19.2,0.5,0.7,1.2,0.128
Nia Coffey,ATL,F,28,389,10.1,0.441,0.417,0.302,6.2,10.6,6,1.9,2.7,11.8,20.3,-0.3,0.5,0.2,0.02
Glory Johnson,DAL,F,28,676,13.9,0.456,0.481,0.112,4.5,12.6,10.9,3.1,2.3,11.1,17.3,0.2,1,1.2,0.069
Nayo Raincock-Ekunwe,NYL,F,28,367,11.3,0.572,0.038,0.316,12,11.9,5.4,1.1,0.9,19.6,13.3,0.5,0,0.4,0.047
Myisha Hines-Allen,WAS,F,27,211,12.6,0.424,0.232,0.174,14.7,16.7,16.3,2.2,4.3,22,20.6,-0.1,0.4,0.3,0.062
Brionna Jones,CON,C,27,227,16.4,0.517,0.013,0.48,17.7,14.9,6.6,2,2.7,17.3,21,0.4,0.3,0.7,0.124
Jewell Loyd,SEA,G,27,686,15.6,0.504,0.338,0.231,1.9,6.6,15,2.7,0.4,13.6,25.4,0.5,0.8,1.3,0.078
Kayla Thornton,DAL,F,27,822,11.5,0.445,0.356,0.201,6.7,10.3,11.1,1.6,0.9,12.3,20.2,0.2,0.4,0.6,0.027
Kristine Anigwe,TOT,C-F,27,250,8.5,0.402,0,0.471,12.4,15.4,4,1.9,2.8,17.2,17.7,-0.2,0.3,0.1,0.012
Damiris Dantas,MIN,F,26,667,14.8,0.55,0.519,0.126,5.2,10.7,20.2,1.5,2,17.1,17.7,1.2,1,2.2,0.133
A'ja Wilson,LVA,C,26,740,21,0.547,0.003,0.436,6.5,12.4,12,0.9,5,12.5,26.1,1.7,1.4,3.1,0.168
Megan Gustafson,DAL,F,25,238,15.1,0.572,0.164,0.364,9.4,15.7,5.5,0.9,2.2,13.6,14.3,0.6,0.2,0.7,0.124
JiSu Park,LVA,C,25,163,1.4,0.244,0.027,0.243,6.9,9,8.8,1.5,2,14.6,12.6,-0.5,0.2,-0.2,-0.052
Rebecca Allen,NYL,F,24,412,13.5,0.527,0.436,0.103,3.3,8.4,7.4,1.5,3.6,9.4,19.1,0.5,0.2,0.6,0.059
Bria Hartley,NYL,G,24,545,12.9,0.492,0.348,0.314,3.7,8,24.3,1.7,0.2,17.3,23.2,0.2,0,0.3,0.019
