Player,Tm,Pos,NUM GAMES,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_40,YEAR
Nikki Teasley,TOT,G,21,456,8.1,0.545,0.681,0.174,0.8,4,18.8,1.6,0.9,27.4,9.7,0.3,0.4,0.7,0.061,2009
Tamera Young,TOT,F,21,201,13.6,0.452,0.178,0.479,9.5,13.1,10,3.3,2,18.5,23.8,-0.1,0.3,0.2,0.043,2009
Suzy Batkovic-Brown,SEA,C,20,147,5,0.505,0.256,0.186,8.1,12.7,5.4,1.9,3.7,34,22.6,-0.6,0.3,-0.3,-0.075,2009
Katie Gearlds,SEA,G-F,20,243,12,0.541,0.703,0.054,2.2,6.9,8.6,1.3,1.1,13.7,17,0.3,0.3,0.6,0.097,2009
Shanna Zolman,SAS,G,19,176,17.9,0.604,0.592,0.079,0,3.5,7.2,0.6,0,6,22.2,0.6,0,0.5,0.119,2009
Erlana Larkins,NYL,F,18,137,12.9,0.51,0,0.697,9.7,13.6,10.6,3.5,2.5,27.1,20,-0.1,0.3,0.2,0.066,2009
LaToya Sanders,MIN,F,17,159,11.1,0.505,0,0.5,10.3,14.2,8.3,1,6.9,27.7,14.1,0,0.1,0.1,0.028,2009
Ann Wauters,SAS,C,17,463,17.4,0.576,0.036,0.31,7.9,12.7,8.6,1.5,1,18.7,23.7,0.6,0.4,0.9,0.079,2009
Nikki Blue,WAS,G,16,91,6.4,0.423,0.375,0.417,2.6,6.6,21.9,3.9,0,31.4,19.7,-0.2,0.2,-0.1,-0.035,2009
Kristen Mann,WAS,F,16,95,9.2,0.44,0.643,0.036,2.5,8.8,11,1.6,0,9.5,14.3,0.1,0.1,0.2,0.075,2009
Anna Montanana,MIN,F,16,169,10.9,0.475,0.417,0.056,10.4,9.4,18.5,2.7,0,24.5,12.8,0.1,0,0.2,0.038,2009
Katie Mattera,TOT,C,15,102,10.3,0.633,0,0.6,11.1,17,1.9,0.5,6.9,37.5,23.1,-0.2,0.1,-0.1,-0.043,2009
Penny Taylor,PHO,F,14,283,19.6,0.592,0.231,0.444,5.1,6.7,17.6,3,0.5,19.4,23.8,0.8,0.1,1,0.136,2009
Barbara Farris,DET,F-C,13,110,4.6,0.53,0,1.778,3.3,9.8,6.6,2.4,0,35.9,10.1,-0.1,0.2,0.1,0.032,2009
Ashley Walker,SEA,F-C,13,90,3.8,0.355,0.214,0.357,8.8,16.5,7.8,1.2,2,17.8,20.6,-0.2,0.2,0,-0.019,2009
Christi Thomas,MIN,F-C,11,66,-6.9,0.069,0.333,0.095,8.9,13.9,6.7,2.3,6,21.5,18.7,-0.6,0.1,-0.5,-0.304,2009
Mistie Bass,CHI,F,8,126,18.3,0.532,0.051,0.41,11.8,13.1,4.6,2.1,1.9,8,18.2,0.3,0.1,0.4,0.13,2009
Lauren Ervin,CON,F,8,56,9,0.447,0,0.118,7.6,13.2,0,0.9,0,10.1,15.8,0,0.1,0,0.029,2009
Anna DeForge,DET,G,7,113,4.5,0.278,0.222,0,6.4,10.6,13.4,1.8,0,28,9.8,-0.2,0.1,-0.1,-0.028,2009
Barbara Turner,CON,G-F,7,144,5.7,0.323,0.641,0.256,3,5.9,15.3,1.8,0,8.4,14.6,-0.2,0.1,0,-0.005,2009
Seimone Augustus,MIN,G,6,178,30.9,0.661,0.163,0.244,2.6,8.6,12.2,3.4,1.3,12,26.9,0.9,0.1,1,0.236,2009
Allie Quigley,PHO,G,6,32,1.5,0.563,0.5,0.25,3.8,8.7,4.3,0,0,36,18.2,-0.1,0,-0.1,-0.098,2009
